content,category,,,Legal Document
Ordinarily that discretion will be exercised so that costs follow the event and are awarded on a party and party basis. A departure from normal practice to award indemnity costs requires some special or unusual feature in the case: Alpine Hardwood (Aust) Pty Ltd v Hardys Pty Ltd (No 2) [2002] FCA 224 ; (2002) 190 ALR 121 at [11] (Weinberg J) citing Colgate Palmolive Co v Cussons Pty Ltd (1993) 46 FCR 225 at 233 (Sheppard J).,Legal Documents,,,
Ordinarily that discretion will be exercised so that costs follow the event and are awarded on a party and party basis. A departure from normal practice to award indemnity costs requires some special or unusual feature in the case: Alpine Hardwood (Aust) Pty Ltd v Hardys Pty Ltd (No 2) [2002] FCA 224,Legal Documents,,,
"The general principles governing the exercise of the discretion to award indemnity costs after rejection by an unsuccessful party of a so called Calderbank letter were set out in the judgment of the Full Court in Black v Lipovac [1998] FCA 699 ; (1998) 217 ALR 386. In summary those principles are: 1. Mere refusal of a ""Calderbank offer"" does not itself warrant an order for indemnity costs. In this connection it may be noted that Jessup J in Dais Studio Pty Ltd v Bullet Creative Pty Ltd [2008] FCA 42 said that (at [6]): if the rejection of such an offer is to ground a claim for indemnity costs, it must be by reason of some circumstance other than that the offer happened to comply with the Calderbank principle. 2. To obtain an order for indemnity costs the offeror must show that the refusal to accept it was unreasonable. 3. The reasonableness of the conduct of the offeree is to be viewed in the light of the circumstances that existed when the offer was rejected.",Legal Documents,,,
"The preceding general principles inform the exercise of the discretion. That discretion is not to be fettered by transformation of approaches and practices developed through the cases into quasi statutory rules. In John S Hayes &amp; Associates Pty Ltd v Kimberly-Clark Australia Pty Ltd (1994) 52 FCR 201 , Hill J said (at 203): care must be taken not to circumscribe the discretion by reference to closed categories. It is not a necessary condition of the power to award costs that a collateral purpose be shown. The categories warranting the exercise of the discretion are not closed ... See also Goldberg J in Dr Martens Australia Pty Ltd v Figgins Holdings Pty Ltd (No 2) [2000] FCA 602 at [15] .",Legal Documents,,,
Associates Pty Ltd v Kimberly-Clark Australia Pty Ltd (1994) 52 FCR 201,Legal Documents,,,
"On the question of the level of unreasonableness necessary to attract the discretion, I respectfully agree with the comment of Sackville J in Seven Network Limited v News Limited (2007) 244 ALR 374 at [62] questioning the utility of substituting a requirement that rejection be ""plainly unreasonable"" for the requirement that it be ""unreasonable"". Given the evaluative character of the judgment involved the addition of the word ""plainly"" which is itself evaluative, has no useful function. 37 At the time that Sirtex made its offer to UWA the prospect of UWA succeeding against Sirtex depended critically upon: 1. UWA establishing its case against Dr Gray and, in particular, that he had breached his fiduciary duty. 2. UWA establishing that Sirtex was accessorially liable in relation to that breach, a position that depended upon establishing that Sirtex was aware of facts constituting (and which would have indicated to a reasonable person) the breach of fiduciary duties owed by Dr Gray to UWA. 38 It cannot be said that UWA acted unreasonably in proceeding on the basis that it had a reasonable cause of action against Dr Gray. True it is that the case as framed and presented depended upon an important proposition of law as to the existence of an implied term in the contract of Dr Gray's employment with UWA. But the correctness of that proposition had not previously been tested in Australia in circumstances of the kind which arose in this case. This is not a case, in my opinion, in which it is appropriate to take a hindsight test to the facts known to UWA at the time of Sirtex's offer and conclude that it ought to have known that the law was against it. 39 There were of course other hazards in the way of UWA's path to success against Dr Gray and therefore against Sirtex. The question whether the relevant inventions were made while Dr Gray was an employee of UWA was one issue upon which findings adverse to UWA were made on all but the DOX-Spheres technology. There was also a finding adverse to UWA that none of the Sirtex directors, apart from Dr Gray, were on notice of a potential claim. To establish any cause of action against Sirtex based on knowing involvement in his alleged breaches of fiduciary duty would have depended entirely upon his role as a director of Sirtex and whether his knowledge could be attributed to that company. In addition, UWA faced substantial defences by Sirtex based on UWA's delay in commencing proceedings after it first became aware of the facts relevant to its claimed causes of action. 40 The preceding factors may be seen as weighing to some degree in favour of the Sirtex motion. On the other hand the offer came as the trial commenced. That is a factor, given the focus on the trial process which would then have existed, that militates against a finding of unreasonableness on the part of UWA in refusing the offer. That conclusion is not affected by the fact that Sirtex was making a counter-offer. The counter-offer was not a variation on a theme opened by UWA's offers. It was quite different and could have been proposed earlier.",Legal Documents,,,
"recent decision of the High Court in Australian Broadcasting Corporation v O'Neill [2006] HCA 46 clarifies this issue. Gleeson CJ and Crennan J (at [19]), after referring to various cases dealing with the grant of interlocutory injunctions in cases of defamation, formulated the general principles governing the grant of such relief in the following terms: ""in all applications for an interlocutory injunction, a court will ask whether the plaintiff has shown that there is a serious question to be tried as to the plaintiff's entitlement to relief, has shown that the plaintiff is likely to suffer injury for which damages will not be an adequate remedy, and has shown that the balance of convenience favours the granting of an injunction.""",Legal Documents,,,
"Hexal Australia Pty Ltd v Roche Therapeutics Inc (2005) 66 IPR 325, the likelihood of irreparable harm was regarded by Stone J as, indeed, a separate element that had to be established by an applicant for an interlocutory injunction. Her Honour cited the well-known passage from the judgment of Mason ACJ in Castlemaine Tooheys Ltd v South Australia [1986] HCA 58 ; (1986) 161 CLR 148 (at 153) as support for that proposition. Had it not been for the fact that there will be a speedy trial of this matter, which Stone J regarded as a relevant consideration in Hexal v Roche (at [78]), I might have been inclined to grant some, at least, of the orders sought by CSL. I will give the parties an opportunity to be heard in relation to the matter of costs. I certify that the preceding one hundred and seven (107) numbered paragraphs are a true copy of the Reasons for Judgment herein of the Honourable Justice Weinberg. Associate: Dated: 3 October 2006 Counsel for the Applicant: Mr B.N. Caine SC and Dr W.A. Rothnie Solicitor for the Applicant: Blake Dawson Waldron Counsel for the Respondent: Mr P.W. Collinson SC and Ms H.M.J. Rofe Solicitor for the Respondent: Deacons Date of Hearing: 22 September 2006 Date of Judgment: 3 October 2006 AustLII: Copyright Policy | Disclaimers | Privacy Policy | Feedback URL: http://www.austlii.edu.au/au/cases/cth/FCA/2006/1301.html",Legal Documents,,,
Ex parte O'Flannagan and O'Kelly [1923] HCA 39,Legal Documents,,,
"Strictly speaking, a cheque, even a bank cheque, is not a form of legal tender. Subject to some particular contractual or statutory provision, the only forms of legal tender remain Australian notes or, subject to the limits specified, Australian coins see s 36 of the Reserve Bank Act 1959 and s 16 of the Currency Act 1965 respectively. However, in general trade and commerce, as Mason J observed in George v Cluning (1979) 53 ALJR 767 (note) by reference to Canadian authority, a payment by cheque can amount to sufficient payment if not objected to on that account. In this case there was no objection made by the Deputy Commissioner on account of Ganter's endeavouring to settle its indebtedness by the tendering of a cheque only, as I have noted a signification that it was accepted subject to a condition that the cheque would be paid on presentation",Legal Documents,,,
"None of this is to suggest that the Deputy Commissioner was under any obligation to accept the proffered cheque. When the history of Ganter's endeavours to pay the debt after the filing of the winding up application is recalled and that the company was, by operation of s 459C(2)(a) the Corporations Act 2001 presumed to be insolvent the Deputy Commissioner would have been entitled not to accept the cheque. A refusal to accept the cheque would not have eliminated the debt in question: Australian Mid-Eastern Club Ltd v Yassim (1989) 1 ACSR 399 , at 403 (NSWCA); Deputy Commissioner of Taxation v Visidet Pty Ltd [2005] FCA 830 at [3] per Gyles J.",Legal Documents,,,
