content,category

"The zebra finch (Poephila guttata) is a sexually dimorphic, social estrildid native to the grasslands of Australia. They are opportunistic, year-round breeders which nest in colonies of variable size. Zebra finches form permanent pair bonds and both sexes share the responsibilities of nest building, incubation and rearing of young (Walter, 1973). Morris (1954), however, reported that although both sexes pick up and nibble on fragments of material, males collect most of the nesting material.",Scientific Research Paper
"The purpose of this study was to test whether or not this preference for certain colors of leg bands generalizes to preference for certain colors of nesting material. It was hypothesized that zebra finches would collect more red or black material than light green, with collection of orange being intermediate.",Scientific Research Paper
"Studies on the effects of colored plastic leg bands on pair formation show that male zebra finches spend more time sitting next to females wearing black or pink leg bands than females wearing light blue leg bands. The same studies indicate that females spend more time sitting next to males wearing red leg bands than males wearing light green bands. In both male and female, orange leg bands (which are similar to natural leg color) proved to be of intermediate preference (Burley, 1981 and 1982).",Scientific Research Paper
"he zebra finches used in this study were in three colonies in the lab of Dr. J.R. Baylis at the University of Wisconsin, Madison. Each colony contained between thirty and forty individual birds of both sexes, a variety of ages and several plumage types. All animals wore colored leg bands for individual identification and all had been exposed to grass, green embroidery floss and white dog fur as nesting material previous to this study. The colonies were housed in separate rooms, each approximately 17m3 and each contained eight artificial nest boxes. All behavioral observations were made from outside the colony rooms through one-way mirrors.",Scientific Research Paper
"RESULTS More green material was removed by the finches than red, more red than black and more black than orange. The ratio between material of different colors used in nest construction differed significantly from the expected 1:1:1:1 (X2=63.44, df=3, p<.005). When colors were compared in pairs, the difference between values for green and red were not significantly different (X2=117, df=1, p>.5). However, the values for black and orange were significantly different (X2=36.38, df=1, p<.005).",Scientific Research Paper
"The results from these experiments suggest that zebra finches do in fact have color preferences with regard to nesting material. Contrary to the predictions made by generalizing Burley’s studies (1981, 1982), however, the zebra finches used in this study preferred green, red or black nesting material to orange. These results are similar to those of Collias and Collias (1981) who showed that weaver birds preferred green nesting material.",Scientific Research Paper
"Alternative hypotheses are also provided, and evidence from literature is given in support of the alternate hypothesis. Future studies are proposed to help further knowledge in the area.",Scientific Research Paper
"The emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in late 2019 and its subsequent global spread has led to millions of infections and substantial morbidity and mortality (1). Coronavirus disease 2019 (COVID-19), the clinical disease caused by SARS-CoV-2 infection, can range from mild, self-limiting disease to acute respiratory distress syndrome and death (2). The mechanisms underlying the spectrum of COVID-19 disease severity states and the nature of protective immunity against COVID-19 remain unclear.",Scientific Research Paper
"Studies investigating the human immune response against SARS-CoV-2 have begun to characterize SARS-CoV-2 antigen-specific T cell responses (3–8), and multiple studies have described marked activation of T cell subsets in acute COVID-19 patients (9–13). Unexpectedly, antigen-specific T cell studies performed with five different cohorts reported that 20 to 50% of people who had not been exposed to SARS-CoV-2 had significant T cell reactivity directed against peptides corresponding to SARS-CoV-2 sequences (3–7). The studies were from geographically diverse cohorts (the United States, the Netherlands, Germany, Singapore, and the United Kingdom), and the general pattern observed was that the T cell reactivity found in unexposed individuals was predominantly mediated by CD4+ T cells. It was speculated that this phenomenon might be due to preexisting memory responses against human “common cold” coronaviruses (HCoVs) such as HCoV-OC43, HCoV-HKU1, HCoV-NL63, and HCoV-229E. These HCoVs share partial sequence homology with SARS-CoV-2, are widely circulating in the general population, and are typically responsible for mild respiratory symptoms (14–16). However, the hypothesis of cross-reactive immunity between SARS-CoV-2 and common cold HCoVs still awaits experimental trials. This potential preexisting cross-reactive T cell immunity to SARS-CoV-2 has broad implications because it could explain aspects of differential COVID-19 clinical outcomes, influence epidemiological models of herd immunity (17, 18), or affect the performance of COVID-19 candidate vaccines.",Scientific Research Paper
"REFERENCES 1. Walters, E.T., and Williams, A.C.C. (2019). Evolution of mechanisms and behaviour important for pain. Philos. Trans. R. Soc. B. 374, 20190275. 2. Crook, R.J., Dickson, K., Hanlon, R.T., and Walters, E.T. (2014). Nociceptive sensitization reduces predation risk. Curr. Biol. 24, 1121–1125. 3. Perrot-Minnot, M.-J., Banchetry, L., and Cezilly, F. (2017). Anxiety-like behaviour increases safety from fi sh predation in an amphipod crustacea. R. Soc. Open Sci. 4, 171558. 4. Decosterd, I., and Woolf, C.J. (2000). Spared nerve injury: an animal model of persistent peripheral neuropathic pain. Pain 87, 149–158. 5. King, T., Vera-Portocarrero, L., Gutierrez, T., Vanderah, T.W., Dussor, G., Lai, J., Fields, H.L., and Porreca, F. (2009). Unmasking the tonicaversive state in neuropathic pain. Nat. Neurosci. 12, 1361–1363. 6. Tinbergen, N. (1963). On the aims and methods of ethology. Z. Fur. Tierpsychol. 20, 410–463. 7. Nesse, R.M., and Schulkin, J. (2019). An evolutionary medicine perspective on pain and its disorders. Philos. Trans. R. Soc. B. 374, 20190288.",Scientific Research Paper
"ACKNOWLEDGMENTS We thank Samson Sotocinal of SAS Technologies for construction of the octagonal maze. This research was supported by the Canadian Institutes of Health Research, the National Sciences and Engineering Research Council of Canada and the Louise and Alan Edwards Foundation (J.S.M.)",Scientific Research Paper
"ells are the building blocks of all living things. Each type of cell plays a different role in
the human body. A stem cell is a special type of cell; specific types of body cells (such as
skin cells, intestine cells, or red blood cells) are formed from stem cells.
Some stem cells are able to develop into every kind of body cell. Other stem cells are
more limited and can become several different kinds of cells, but not every kind of body
cell. For example, stem cells in bone marrow (found inside your bones) can become red
blood cells and white blood cells and all of the other parts of blood. However, these stem
cells cannot become skin cells.
What is a stem cell line?
Stem cells grown in a lab are called stem cell “lines.” A cell line is a group of cells that
come from a single tissue sample (e.g., a blood sample or tissue taken from a muscle,
which is called a “biopsy”). Each cell in a cell line will have the same genes as the tissue
sample that it came from.
All stem cell lines:
> Can divide to make copies of themselves; for this reason, a stem cell line growing in a
lab could exist for a very long time, even longer than your lifetime
> Can become some other types of body cells
> Contain the same genetic information as the person who gave the sample",Scientific Research Paper
"Why are researchers interested in stem cells?
Studying stem cells can help scientists understand more about how the body works
and how disease develops and affects the body. Working with stem cells may help
researchers better understand different diseases and conditions, and find new treat-
ments. Scientists hope one day to be able to use stem cells to help replace tissues in
the body that were damaged by disease or injury.
Benefits and risks of participating in stem cell research?
By participating in stem cell research, there’s no direct benefit for you, but taking part
may help others in the future.
The risks involved in providing a tissue sample will depend on the type of sample you
are providing (e.g., blood draw, skin biopsy, cheek swab, bone marrow biopsy, etc.).
The research team will describe the procedure and risks during the informed consent
process. A stem cell line made from your tissue contains your genetic information and
may be linked to your identity. There is a risk this information could accidentally be
shared with others. The researchers will explain how they guard against this.
Participating in research is a choice
Agreeing to take part in research is a process. The research team will discuss the
research with you. They will explain the study’s goals and possible risks and benefits.
The research team will review an Informed Consent Form with you. All study proce-
dures, risks, and any possible benefits will be described in detail in this form.
Ask for help if you don’t understand something. You should never feel rushed or
pressured. Being part of a research study is completely voluntary – it’s your choice.",Scientific Research Paper
